date,oil,volume
  03/04/2022   ,115.68,472183
  03/03/2022   ,107.67,574369
  03/02/2022   ,110.6,628163
  03/01/2022   ,103.41,674932
  02/28/2022   ,95.72,463872
  02/25/2022   ,91.59,502277
  02/24/2022   ,92.81,851002
  02/23/2022   ,92.1,428121
  02/22/2022   ,92.35,28595
  02/18/2022   ,91.07,98808
  02/17/2022   ,91.76,188922
  02/16/2022   ,93.66,361057
  02/15/2022   ,92.07,401815
  02/14/2022   ,95.46,437005
  02/11/2022   ,93.1,518340
  02/10/2022   ,89.88,455913
  02/09/2022   ,89.66,408290
  02/08/2022   ,89.36,429214
  02/07/2022   ,91.32,463483
